DATE,DATE_WEEK,DATE_MON,PGM_CODE,PGM_NAME,STIME,program_title,guestname,daily_corner,weekly_corner,view_radio_yn,live_yn,dau,dau_prev,dau_chg,dau_d2,dau_r7,dau_r7_prev,dau_r7_chg,dau_r30,dau_r30_prev,dau_r30_chg,new,new_prev,new_chg,new_share,react,react_prev,react_chg,react_share,react_rate,react_rate_prev,react_rate_diff,churn_rate,churn_rate_prev,churn_rate_diff,dau_1min,dau_1min_prev,dau_1min_chg,dau_10min,dau_10min_prev,dau_10min_chg,real_rate,real_rate_prev,real_rate_diff,deep_rate,deep_rate_prev,deep_rate_diff,d1_ret,d1_ret_prev,d1_ret_diff,d7_ret,d7_ret_prev,d7_ret_diff,new_d1_ret,new_d1_ret_prev,new_d1_ret_diff,new_d7_ret,new_d7_ret_prev,new_d7_ret_diff,engage_rate,engage_rate_prev,engage_rate_diff,habit_rate,habit_rate_prev,habit_rate_diff,wau,wau_prev,wau_chg,new_week,new_week_prev,new_week_chg,new_week_share,react_week,react_week_prev,react_week_chg,react_week_share,react_rate_week,react_rate_week_prev,react_rate_week_diff,churn_rate_week,churn_rate_week_prev,churn_rate_week_diff,wau_1min,wau_1min_prev,wau_1min_chg,wau_10min,wau_10min_prev,wau_10min_chg,real_rate_week,real_rate_week_prev,real_rate_week_diff,deep_rate_week,deep_rate_week_prev,deep_rate_week_diff,w1_ret,w1_ret_prev,w1_ret_diff,new_w1_ret,new_w1_ret_prev,new_w1_ret_diff,engage_rate_week,engage_rate_week_prev,engage_rate_week_diff,habit_rate_week,habit_rate_week_prev,habit_rate_week_diff,mau,mau_prev,mau_chg,new_mon,new_mon_prev,new_mon_chg,new_mon_share,react_mon,react_mon_prev,react_mon_chg,react_mon_share,react_rate_mon,react_rate_mon_prev,react_rate_mon_diff,churn_rate_mon,churn_rate_mon_prev,churn_rate_mon_diff,mau_1min,mau_1min_prev,mau_1min_chg,mau_10min,mau_10min_prev,mau_10min_chg,real_rate_mon,real_rate_mon_prev,real_rate_mon_diff,deep_rate_mon,deep_rate_mon_prev,deep_rate_mon_diff,m1_ret,m1_ret_prev,m1_ret_diff,new_m1_ret,new_m1_ret_prev,new_m1_ret_diff,engage_rate_mon,engage_rate_mon_prev,engage_rate_mon_diff,habit_rate_mon,habit_rate_mon_prev,habit_rate_mon_diff
2026/04/16,2026/04/06,2026/03/01,L02,Love20(재),0200,,,,,,,3576,3715,-3.7,3767,11993,11638,3.1,31864,,,104,133,-21.8,2.9,76,271,-72.0,2.1,2.1,0,2.1,20.5,21.0,-0.5,2978,3101,-4.0,2633,2756,-4.5,,,,88.4,88.9,-0.5,43.08,43.48,-0.4,36.02,36.33,-0.3,15.00,16.35,-1.4,8.27,6.12,2.1,1.6,1.0,0.6,0.3,,,11373,11586,-1.8,751,650,15.5,6.6,791,743,6.5,7.0,0,0,0.0,17.0,15.4,1.6,8865,8899,-0.4,7694,7638,0.7,,,,86.8,85.8,1.0,43.66,45.07,-1.4,10.77,4.77,6.0,2.3,2.6,-0.3,1.1,,,32345,,,2077,,,6.4,,,,,,,,,,,24119,,,20336,,,,,,84.3,,,61.50,,,1.27,,,1.2,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L03,OLDIES 20(재),0400,,,,,,,8725,8454,3.2,8718,23073,22370,3.1,53221,,,131,213,-38.5,1.5,239,612,-60.9,2.7,3.2,0,3.2,15.2,16.1,-0.9,5844,5606,4.2,3790,3630,4.4,,,,64.9,64.8,0.1,49.99,49.20,0.8,45.28,44.47,0.8,15.94,19.48,-3.5,11.27,11.54,-0.3,0.7,0.7,0.0,0.3,,,22800,22686,0.5,1079,1076,0.3,4.7,1088,1080,0.7,4.8,0,0,0.0,12.1,11.5,0.6,15212,14979,1.6,10768,10585,1.7,,,,70.8,70.7,0.1,53.76,53.63,0.1,11.90,9.20,2.7,1.3,1.2,0.1,1.2,,,52374,,,2320,,,4.4,,,,,,,,,,,35067,,,24731,,,,,,70.5,,,70.45,,,2.00,,,0.7,,,0.1,,
2026/04/16,2026/04/06,2026/03/01,L04,,,,,,,,,0,0,,0,0,0,,0,,,0,0,,,0,0,,,0,0,0.0,,,,0,0,,0,0,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,,,0,0,,0,0,,,0,0,,,0,0,0.0,,,,0,0,,0,0,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,,,0,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,0,,,0,,,0,,
2026/04/16,2026/04/06,2026/03/01,L05,고현준의 뉴스 브리핑,0600,,,,,,,22153,21481,3.1,22186,38734,38706,0.1,75220,,,260,236,10.2,1.2,912,1429,-36.2,4.1,7.4,0,7.4,13.0,14.0,-1.0,18273,17904,2.1,15461,15125,2.2,,,,84.6,84.5,0.1,66.80,65.38,1.4,64.23,63.21,1.0,27.20,23.29,3.9,20.76,17.54,3.2,0.7,0.7,0.0,0.4,,,40987,41205,-0.5,1267,1713,-26.0,3.1,1290,1224,5.4,3.1,0,0,0.0,8.9,8.5,0.4,31194,31156,0.1,26822,26652,0.6,,,,86.0,85.5,0.5,67.28,68.28,-1.0,13.60,16.79,-3.2,1.1,0.9,0.2,1.4,,,71984,,,2950,,,4.1,,,,,,,,,,,51479,,,41678,,,,,,81.0,,,80.18,,,2.58,,,1.1,,,0.1,,
2026/04/16,2026/04/06,2026/03/01,L06,김태현의 정치쇼,0700,,,,,,,42803,40564,5.5,41365,81474,81894,-0.5,167438,,,817,792,3.2,1.9,1850,3632,-49.1,4.3,6.4,0,6.4,17.4,19.4,-2.0,24996,24676,1.3,18778,18457,1.7,,,,75.1,74.8,0.3,58.58,56.67,1.9,56.05,54.12,1.9,22.19,22.35,-0.2,18.43,17.28,1.1,0.8,1.0,-0.2,0.3,,,88481,89243,-0.9,3895,4778,-18.5,4.4,4243,4052,4.7,4.8,0,0,0.0,12.1,12.1,0.0,48514,48890,-0.8,35791,35869,-0.2,,,,73.8,73.4,0.4,64.56,64.94,-0.4,15.26,16.38,-1.1,1.2,1.0,0.2,1.2,,,161569,,,8973,,,5.6,,,,,,,,,,,87805,,,59604,,,,,,67.9,,,78.39,,,3.35,,,1.0,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L07,이숙영의 러브FM,0900,,,,,,,26890,25750,4.4,26198,57897,58475,-1.0,139173,,,590,692,-14.7,2.2,1188,2812,-57.8,4.4,5.3,0,5.3,20.5,23.7,-3.2,19759,18868,4.7,15463,14740,4.9,,,,78.3,78.1,0.2,51.49,48.63,2.9,48.55,46.56,2.0,19.44,13.85,5.6,13.01,8.28,4.7,1.6,1.7,-0.1,0.3,,,64300,65908,-2.4,3525,3785,-6.9,5.5,3151,3202,-1.6,4.9,0,0,0.0,14.7,13.2,1.5,42568,43250,-1.6,32708,33403,-2.1,,,,76.8,77.2,-0.4,55.33,57.36,-2.0,12.15,11.86,0.3,2.0,1.8,0.2,1.0,,,137612,,,7888,,,5.7,,,,,,,,,,,86063,,,62652,,,,,,72.8,,,72.16,,,1.24,,,1.6,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L08,박연미의 목돈연구소,1100,,,,,,,17777,17251,3.0,17825,50639,50495,0.3,125146,,,359,445,-19.3,2.0,748,1811,-58.7,4.2,4.7,0,4.7,19.4,23.7,-4.3,14506,14102,2.9,12106,11789,2.7,,,,83.5,83.6,-0.1,48.98,46.79,2.2,47.34,44.76,2.6,18.30,9.76,8.5,13.03,7.43,5.6,1.1,2.2,-1.1,0.3,,,49772,53084,-6.2,3196,3447,-7.3,6.4,3266,3770,-13.4,6.6,0,0,0.0,15.7,13.2,2.5,35467,36448,-2.7,28738,29481,-2.5,,,,81.0,80.9,0.1,49.63,53.41,-3.8,11.49,11.31,0.2,2.8,1.3,1.5,1.4,,,126043,,,7134,,,5.7,,,,,,,,,,,81299,,,62359,,,,,,76.7,,,68.52,,,1.25,,,1.1,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L09,유민상의 배고픈 라디오,1200,,,,,,,22405,21414,4.6,22404,68053,69970,-2.7,170140,,,606,765,-20.8,2.7,822,2571,-68.0,3.7,3.7,0,3.7,21.8,25.2,-3.4,15468,14930,3.6,11802,11369,3.8,,,,76.3,76.1,0.2,44.00,40.66,3.3,40.85,38.79,2.1,17.22,11.28,5.9,11.24,5.44,5.8,2.9,2.9,0.0,0.2,,,68578,71516,-4.1,5168,5795,-10.8,7.5,5083,5527,-8.0,7.4,0,0,0.0,17.7,15.6,2.1,43771,44295,-1.2,32797,33248,-1.4,,,,74.9,75.1,-0.2,48.79,51.59,-2.8,11.20,10.53,0.7,3.6,2.8,0.8,0.9,,,169514,,,12549,,,7.4,,,,,,,,,,,104109,,,76085,,,,,,73.1,,,69.40,,,2.06,,,2.2,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L10,그대의 오후 정엽입니다,1400,,,,,,,20646,19363,6.6,20619,69263,73866,-6.2,180447,,,717,826,-13.2,3.5,790,2733,-71.1,3.8,3.4,0,3.4,26.1,29.3,-3.2,12023,11599,3.7,9327,8891,4.9,,,,77.6,76.7,0.9,38.00,35.60,2.4,35.92,31.93,4.0,13.97,11.59,2.4,8.96,6.11,2.9,1.5,1.2,0.3,0.1,,,71332,72154,-1.1,6312,6537,-3.4,8.8,6462,6808,-5.1,9.1,0,0,0.0,20.3,17.9,2.4,37831,37723,0.3,27291,27460,-0.6,,,,72.1,72.8,-0.7,45.68,47.92,-2.2,12.94,9.85,3.1,1.9,1.5,0.4,0.7,,,176544,,,15276,,,8.7,,,,,,,,,,,95757,,,67379,,,,,,70.4,,,67.06,,,2.00,,,1.1,,,0.0,,
2026/04/16,2026/04/06,2026/03/01,L11,인생은 오디션,1600,,,,,,,10750,10185,5.5,10906,30762,31392,-2.0,89955,,,322,395,-18.5,3.0,273,1188,-77.0,2.5,2.0,0,2.0,21.6,25.2,-3.6,6562,6119,7.2,4717,4401,7.2,,,,71.9,71.9,0.0,32.28,30.26,2.0,29.76,27.01,2.8,14.01,6.95,7.1,6.33,6.25,0.1,2.4,2.4,0.0,0.2,,,35371,36126,-2.1,2105,2145,-1.9,6.0,1530,1540,-0.6,4.3,0,0,0.0,14.4,13.0,1.4,19857,20915,-5.1,13172,14428,-8.7,,,,66.3,69.0,-2.7,41.17,44.45,-3.3,9.32,8.02,1.3,2.2,2.4,-0.2,0.5,,,85670,,,4871,,,5.7,,,,,,,,,,,48940,,,33953,,,,,,69.4,,,62.14,,,1.02,,,1.3,,,0.0,,
